,,,,,,
Canary island pine(Pinus canariensis),https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Young_cone.JPG/317px-Young_cone.JPG,,,,,
Blue atlas cedar(Cedrus atlantica v. glauca),https://upload.wikimedia.org/wikipedia/commons/d/d2/Cedrus_atlantica.jpg,,,,,
Incense cedar(Calocedrus decurrens),https://en.wikipedia.org/wiki/File:Calocedrus_decurrens_Yosemite_NP.jpg,,,,,
Aleppo pine(Pinus halepensis),https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn3.gstatic.com%2Flicensed-image%3Fq%3Dtbn%3AANd9GcTT9cpONrzwgPb4hW-WBzS5cqxfmHMdEIdD6CYrOpYJmRH5oD395glqoSeb6loyZqCDkQuK6obgUAJciqk&psig=AOvVaw3pDf2nhL4XdlbE0rtMPRfn&ust=1684751609062000&source=images&cd=vfe&ved=0CBAQjRxqFwoTCIj_kPuahv8CFQAAAAAdAAAAABAE,,,,,
Outeniqua yellowwood(Afrocarpus falcatus),https://en.wikipedia.org/wiki/File:Southafrica428yellowwood.jpg,,,,,
Bronze loquat(Eriobotrya deflexa),https://en.wikipedia.org/wiki/File:Eriobotryadeflexa.jpg,,,,,
Loquat tree(Eriobotrya japonica),https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Loquat-0.jpg/440px-Loquat-0.jpg,,,,,
Carob(Ceratonia siliqua),https://images.fineartamerica.com/images-medium-large-5/carob-tree-ceratonia-siliqua-seed-pods-photostock-israelscience-photo-library.jpg,,,,,
Deodar cedar(Cedrus deodara),https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/20130903Cedrus_deodara2.jpg/2560px-20130903Cedrus_deodara2.jpg,,,,,
Cork oak(Quercus suber),https://en.wikipedia.org/wiki/File:Cork_oak_(28864190188).jpg,,,,,
Bay laurel(Laurus nobilis),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Laurus_nobilis_111.JPG/320px-Laurus_nobilis_111.JPG,,,,,
Purple blow maple(Acer truncatum),https://en.wikipedia.org/wiki/File:Acer_truncatum_Leaf.jpg,,,,,
Washington hawthorn(Crataegus phaenopyrum),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Crataegus_phaenopyrum_HRM.jpg/440px-Crataegus_phaenopyrum_HRM.jpg,,,,,
Wilga; australian willow(Geijera parviflora),https://en.wikipedia.org/wiki/File:Geijera_parviflora_4.jpg,,,,,
California peppertree(Schinus molle),https://en.wikipedia.org/wiki/File:Schinus_Molle.jpg,,,,,
Japanese flower crabapple(Malus floribunda),https://en.wikipedia.org/wiki/File:Malus_floribunda_(Japanese_crabapple).jpg,,,,,
Goldenrain tree(Koelreuteria paniculata),https://en.wikipedia.org/wiki/File:(MHNT)_Koelreuteria_paniculata_-Leaves_and_inflorescences_-_Palais_Niel.jpg,,,,,
Southern magnolia(Magnolia grandiflora),https://en.wikipedia.org/wiki/File:Magnolia_flower_Duke_campus.jpg,,,,,
Italian stone pine(Pinus pinea),https://en.wikipedia.org/wiki/File:Pinus_pinea_Wellington_Botanic_Gardens.jpg,,,,,
Hedge maple(Acer campestre),https://en.wikipedia.org/wiki/File:Acer_campestre_in_Appennino2.jpg,,,,,
Persian ironwood(Parrotia persica),https://en.wikipedia.org/wiki/File:Morlanwelz_Mariemont_JPG22a.jpg,,,,,
Eastern hophornbeam(Ostrya virginiana),https://en.wikipedia.org/wiki/File:Ostrya_virginiana_2.jpg,,,,,
Bur oak(Quercus macrocarpa),https://en.wikipedia.org/wiki/File:Big_Tree_with_spring_picnic.jpg,,,,,
Chinese pistache(Pistacia chinensis),https://en.wikipedia.org/wiki/File:Pistacia_chinensis.jpg,,,,,
Austrian pine(Pinus nigra),https://en.wikipedia.org/wiki/File:Forest_in_Bulgaria_near_Dundukovo_dam.jpg,,,,,
California sycamore(Platanus racemosa),https://en.wikipedia.org/wiki/File:J20160926-0053%E2%80%94Platanus_racemosa%E2%80%94RPBG_(29346126813).jpg,,,,,
